Timestamp,DL_bitrate,UL_bitrate
"2023-01-01, 00:00:00",24.3,19.2
"2023-01-01, 00:00:03",49.7,7
"2023-01-01, 00:00:06",45.2,18.6
"2023-01-01, 00:00:09",37.1,15.2
"2023-01-01, 00:00:12",23.3,11.3
"2023-01-01, 00:00:15",37.2,8
"2023-01-01, 00:00:18",13.7,12.4
"2023-01-01, 00:00:21",13.9,17.5
"2023-01-01, 00:00:24",18.8,11.8
"2023-01-01, 00:00:27",45.6,9.2
"2023-01-01, 00:00:30",45.8,8.6
"2023-01-01, 00:00:33",45.1,16.1
"2023-01-01, 00:00:36",40.9,19.8
"2023-01-01, 00:00:39",42.1,13.5
"2023-01-01, 00:00:42",12.8,10.3
"2023-01-01, 00:00:45",26.2,5
"2023-01-01, 00:00:48",21.8,12.8
"2023-01-01, 00:00:51",36.1,10.8
"2023-01-01, 00:00:54",40.2,8.2
"2023-01-01, 00:00:57",17.1,7.2
"2023-01-01, 00:01:00",35.5,10.8
"2023-01-01, 00:01:03",23.6,15
"2023-01-01, 00:01:06",21.6,16.8
"2023-01-01, 00:01:09",13.2,9.2
"2023-01-01, 00:01:12",12.2,15.8
"2023-01-01, 00:01:15",28.8,18
"2023-01-01, 00:01:18",30.9,8.1
"2023-01-01, 00:01:21",15.6,6.6
"2023-01-01, 00:01:24",17.8,16.4
"2023-01-01, 00:01:27",33.2,7.9
"2023-01-01, 00:01:30",40,13
"2023-01-01, 00:01:33",43.6,9.7
"2023-01-01, 00:01:36",10.6,13.3
"2023-01-01, 00:01:39",27,7.7
"2023-01-01, 00:01:42",35.5,19.5
"2023-01-01, 00:01:45",37.2,14.3
"2023-01-01, 00:01:48",25.5,18.1
"2023-01-01, 00:01:51",29.7,10.5
"2023-01-01, 00:01:54",36,9.3
"2023-01-01, 00:01:57",12.7,12.3
"2023-01-01, 00:02:00",41.7,10
"2023-01-01, 00:02:03",29,13.3
"2023-01-01, 00:02:06",11.8,7.9
"2023-01-01, 00:02:09",40.8,12
"2023-01-01, 00:02:12",41.6,12.1
"2023-01-01, 00:02:15",29.2,19.1
"2023-01-01, 00:02:18",29,5.6
"2023-01-01, 00:02:21",34.1,15.1
"2023-01-01, 00:02:24",34.9,8.7
"2023-01-01, 00:02:27",43.2,14.6
"2023-01-01, 00:02:30",23.7,15.2
"2023-01-01, 00:02:33",45.4,7.4
"2023-01-01, 00:02:36",47.3,11.2
"2023-01-01, 00:02:39",41.4,9.4
"2023-01-01, 00:02:42",13.1,19.5
"2023-01-01, 00:02:45",34.1,17.4
"2023-01-01, 00:02:48",40.1,12.5
"2023-01-01, 00:02:51",49.9,15.2
"2023-01-01, 00:02:54",21.9,16.8
"2023-01-01, 00:02:57",37.8,8.9
"2023-01-01, 00:03:00",34.2,14.3
"2023-01-01, 00:03:03",29.5,7.8
"2023-01-01, 00:03:06",14.4,12.7
"2023-01-01, 00:03:09",30.8,5.4
"2023-01-01, 00:03:12",16.9,13.3
"2023-01-01, 00:03:15",21,19.7
"2023-01-01, 00:03:18",29,14.3
"2023-01-01, 00:03:21",39.7,19.9
"2023-01-01, 00:03:24",20,14.5
"2023-01-01, 00:03:27",29.9,6
"2023-01-01, 00:03:30",17.4,14.6
"2023-01-01, 00:03:33",13.3,15.4
"2023-01-01, 00:03:36",36.8,13.6
"2023-01-01, 00:03:39",25.3,13.5
"2023-01-01, 00:03:42",35,10.6
"2023-01-01, 00:03:45",43,6.9
"2023-01-01, 00:03:48",46.1,6.1
"2023-01-01, 00:03:51",14.4,10.5
